day,delta_gamma,converged,iters,gmv,lag_loss
25,0.2,True,6,-14.811101007620687,12.98484729004632
25,-0.2,True,7,12.288072928176497,26.97580861902819
26,0.0,True,7,-1.181766461538942e-14,18.612735855668596
26,0.02,True,7,-1.0147928648150595,17.059928786326086
26,-0.02,True,7,0.9847953836032114,20.42238175193792
26,0.05,True,7,-2.5924029943448077,15.220239733951576
26,-0.05,True,7,2.405049056262954,23.6096406697297
26,0.1,True,7,-5.365805446922264,13.485674350705056
26,-0.1,True,7,4.618246095884343,30.1455406507495
26,0.2,True,6,-11.420993124798775,15.136819982971046
26,-0.2,True,8,8.460129921063526,47.52275990476896
27,0.0,True,6,0.0,17.5471665622971
27,0.02,True,6,-0.9102379566113101,16.194841961338383
27,-0.02,True,6,0.8852804437995109,19.138835621609367
27,0.05,True,6,-2.321998760995572,14.62247136512011
27,-0.05,True,6,2.166091325970984,21.9672380212383
27,0.1,True,6,-4.796829181402881,13.24355877087121
27,-0.1,True,5,4.174297728659741,27.82476422167886
27,0.2,True,6,-10.187084069629869,15.281670399934399
27,-0.2,True,6,7.714407036617952,43.58886186277331
28,0.0,True,7,0.0,19.965351241558317
28,0.02,True,7,-0.9594457062677456,18.32743717007976
28,-0.02,True,7,0.9276572828057014,21.841954649617264
28,0.05,True,6,-2.457903273694622,16.328275769284783
28,-0.05,True,7,2.2593528209514533,25.09362922661184
28,0.1,True,6,-5.111636831136634,14.252525187426828
28,-0.1,True,7,4.319248794384188,31.634333736959604
28,0.2,True,6,-10.986058274694722,15.011842978939661
28,-0.2,True,7,7.8453149847939985,48.605125916186516
29,0.0,True,7,0.0,19.500614752078988
29,0.02,True,7,-0.9704329876818972,17.895556195409778
29,-0.02,True,7,0.9399745294684383,21.373759946046192
29,0.05,True,7,-2.4826178269581445,15.999950775439704
29,-0.05,True,7,2.2923799698675738,24.676019584904537
29,0.1,True,7,-5.150907594775648,14.237419909482925
29,-0.1,True,7,4.391773095210212,31.451351596958443
29,0.2,True,6,-11.016963222016631,16.113629357240246
29,-0.2,True,8,8.00921114923371,49.45603421460837
30,0.0,True,6,-2.1754507298820676e-14,16.274484267245043
30,0.02,True,6,-0.97971366742936,14.94730880622375
30,-0.02,True,6,0.9520018796803096,17.861327426801566
30,0.05,True,6,-2.500668155942158,13.451300688845091
30,-0.05,True,6,2.3275723164720272,20.71989222020124
30,0.1,True,6,-5.169948820548904,12.303879136507579
30,-0.1,True,6,4.479031275156503,26.72401809571796
30,0.2,True,6,-10.988999623067443,15.193449964560159
30,-0.2,True,6,8.248581181528621,43.11255821190139
31,0.0,True,6,2.0983391416707024e-14,12.277114170599972
31,0.02,True,6,-1.1038016439780434,11.269957503012282
31,-0.02,True,6,1.0780558102694906,13.531837293856697
31,0.05,True,6,-2.8069222585951774,10.229144465170755
31,-0.05,True,6,2.6461061533320085,15.87168608801519
31,0.1,True,6,-5.768213518027457,9.766102990745912
31,-0.1,True,6,5.1263082260169375,20.964718828928902
31,0.2,True,6,-12.12145262974016,13.693722949908649
31,-0.2,True,6,9.575385924490392,35.41077594950337
