tag,day,round,gamma,err,ratio
no noise,13,5,-0.5625,0.1415506097321796,1.0886567032713124
no noise,13,6,-0.46875,0.04780060973217959,1.0309152741585146
no noise,13,7,-0.421875,0.0009256097321795886,1.0006074794765598
no noise,13,8,-0.3984375,0.02251189026782041,0.9851219515025414
no noise,13,9,-0.41015625,0.010793140267820411,0.9928914779404896
no noise,13,10,-0.416015625,0.004933765267820411,0.9967562360710588
no noise,13,11,-0.4189453125,0.0020040777678204114,0.9986835553991454
no noise,13,12,-0.42041015625,0.0005392340178204114,0.9996459428760475
no noise,14,1,0.0,0.3877759257418626,0.7008599715409044
no noise,14,2,-1.5,1.1122240742581373,1.4970299855649092
no noise,14,3,-0.75,0.3622240742581374,1.2362890113438196
no noise,14,4,-0.375,0.012775925741862593,0.9906780103835154
no noise,14,5,-0.5625,0.1747240742581374,1.12139310355325
no noise,14,6,-0.46875,0.08097407425813741,1.057755757200559
no noise,14,7,-0.421875,0.03409907425813741,1.0246103844195744
no noise,14,8,-0.3984375,0.010661574258137407,1.0077377667308038
no noise,14,9,-0.38671875,0.0010571757418625927,0.9992306667133577
no noise,14,10,-0.392578125,0.004802199258137407,1.0034899886054158
no noise,14,11,-0.3896484375,0.0018725117581374073,1.001361760997193
no noise,14,12,-0.38818359375,0.00040766800813740733,1.000296570982508
no noise,15,1,0.0,0.3636301670272092,0.7060837767366164
no noise,15,2,-1.5,1.136369832972791,1.5418602401503556
no noise,15,3,-0.75,0.3863698329727908,1.2679661642009061
no noise,15,4,-0.375,0.011369832972790817,1.0087700293142416
no noise,15,5,-0.1875,0.17613016702720918,0.8599048250226643
no noise,15,6,-0.28125,0.08238016702720918,0.9353526263192458
no noise,15,7,-0.328125,0.035505167027209183,0.9723635206116199
no noise,15,8,-0.3515625,0.012067667027209183,0.9906482398961255
no noise,15,9,-0.36328125,0.0003489170272091835,0.9997302301462704
no noise,15,10,-0.369140625,0.0055104579727908165,1.0042554940748183
no noise,15,11,-0.3662109375,0.0025807704727908165,1.0019941919218829
no noise,15,12,-0.36474609375,0.0011159267227908165,1.0008625420746726
no noise,16,1,0.0,0.3805230145201718,0.7026418682054013
no noise,16,2,-1.5,1.119476985479828,1.5161169935061967
no noise,16,3,-0.75,0.3694769854798282,1.2454985984601719
no noise,16,4,-0.375,0.005523014520171787,0.9959089387272738
no noise,16,5,-0.5625,0.1819769854798282,1.1285402934724051
no noise,16,6,-0.46875,0.08822698547982821,1.0639284100094377
no noise,16,7,-0.421875,0.04135198547982821,1.0303082638660095
no noise,16,8,-0.3984375,0.017914485479828213,1.0132012114214377
no noise,16,9,-0.38671875,0.006195735479828213,1.004577615346173
no noise,16,10,-0.380859375,0.0003363604798282127,1.000248834749563
no noise,16,11,-0.3779296875,0.0025933270201717873,0.9980802664472066
no noise,16,12,-0.37939453125,0.0011284832701717873,0.9991648967427167
no noise,17,1,0.0,0.3528375510755263,0.7006652174576852
no noise,17,2,-1.5,1.1471624489244738,1.695034344964827
no noise,17,3,-0.75,0.3971624489244737,1.3113360387221016
no noise,17,4,-0.375,0.02216244892447372,1.0185032155148905
no noise,17,5,-0.1875,0.16533755107552628,0.8600457958239249
no noise,17,6,-0.28125,0.07158755107552628,0.9397306031316556
no noise,17,7,-0.328125,0.02471255107552628,0.9792736795466004
no noise,17,8,-0.3515625,0.001275051075526279,0.9989329500075733
no noise,17,9,-0.36328125,0.010443698924473721,1.0087298686563333
no noise,17,10,-0.357421875,0.004584323924473721,1.0038342734526868
no noise,17,11,-0.3544921875,0.001654636424473721,1.0013843174494963
