regime,day,round,gamma_t,gamma_hat,gmv_ratio,gamma_error,converged
noiseless,20,5,-0.3125,-0.3265757750019328,0.9877640120019663,0.0140757750019328,True
noiseless,20,6,-0.46875,-0.3265757750019328,1.1092803021435653,0.1421742249980672,True
noiseless,20,7,-0.390625,-0.3265757750019328,1.0531202820942798,0.0640492249980672,True
noiseless,20,8,-0.3515625,-0.3265757750019328,1.0214082499928285,0.0249867249980672,True
noiseless,20,9,-0.33203125,-0.3265757750019328,1.0047334112936182,0.0054554749980672,True
noiseless,20,10,-0.322265625,-0.3265757750019328,0.9962545712789145,0.0043101500019328,True
noiseless,20,11,-0.3271484375,-0.3265757750019328,1.0004975362454287,0.0005726624980672002,True
noiseless,20,12,-0.32470703125,-0.3265757750019328,0.9983762562348425,0.0018687437519327998,True
noiseless,21,1,0.0,-0.3420401088873946,0.7063872645738383,0.3420401088873946,True
noiseless,21,2,-2.5,-0.3420401088873946,1.2521948433506087,2.1579598911126054,True
noiseless,21,3,-1.25,-0.3420401088873946,1.2514668151125217,0.9079598911126054,True
noiseless,21,4,-0.625,-0.3420401088873946,1.1611252564044714,0.2829598911126054,True
noiseless,21,5,-0.3125,-0.3420401088873946,0.9761604405408839,0.02954010888739461,True
noiseless,21,6,-0.46875,-0.3420401088873946,1.0903131320022121,0.1267098911126054,True
noiseless,21,7,-0.390625,-0.3420401088873946,1.037397923937514,0.04858489111260539,True
noiseless,21,8,-0.3515625,-0.3420401088873946,1.0075499202282447,0.009522391112605388,True
noiseless,21,9,-0.33203125,-0.3420401088873946,0.9919614922497052,0.010008858887394612,True
noiseless,21,10,-0.341796875,-0.3420401088873946,0.9998067969469089,0.0002432338873946116,True
noiseless,21,11,-0.3466796875,-0.3420401088873946,1.0036829100543354,0.004639578612605388,True
noiseless,21,12,-0.34423828125,-0.3420401088873946,1.001745483803657,0.0021981723626053884,True
noiseless,22,1,0.0,-0.3280552396614474,0.7160537288983986,0.3280552396614474,True
