market,N,sigma_log_alpha,mu_log_alpha,mean_alpha,inside_share,ebar_BN,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_BN,time_gamma,time_MS,time_BN,pi_BN
54,60,0.08477303773553939,1.0388059137029488,2.7916564761588205,0.1504483620031523,0.155610315149364,0.014706913882244866,2.1385656726519325e-16,0.02250727097721537,122,6,7,0.008863208000548184,0.0008330000018759165,0.0272509579990583,0.06489297001856988
55,60,0.2874661958481533,1.378973663826486,4.212114506075127,0.1963982569857283,0.2928252020065074,0.053032341193735906,1.7609024123980173e-16,0.017707304949512746,31,10,7,0.002369583999097813,0.002050708997558104,0.026811374998942483,0.07881065816086608
56,60,0.19711494668034468,0.9289981499924204,2.5661667232398235,0.19009000678923535,0.21703328649778253,0.030904579497371056,0.0,0.01876891564934142,407,7,7,0.023472957997000776,0.0021883749977860134,0.022305541999230627,0.10263934448995103
57,60,0.2407328022281015,1.2379935401688424,3.4435469603177316,0.15958808685546616,0.20772922880917147,0.0249083340976391,0.0,0.01660801231653934,50,8,7,0.002676250001968583,0.0009358749994134996,0.024812874999042833,0.06591734956112001
58,60,0.1978398245709027,1.0546003078663584,2.9187447247191876,0.11549748487163455,0.14422769711789352,0.011276703325269886,0.0,0.015032230255397584,111,8,7,0.0061480829972424544,0.002483249998476822,0.027130165999551537,0.052088797353835
59,60,0.21299369806335533,1.1586303431320468,3.2886294018852262,0.10079686644661165,0.1219184198772976,0.007999769360116647,0.0,0.01621357604182008,53,7,7,0.0028171250014565885,0.0008855830019456334,0.024877791001927108,0.03846175324926924
60,60,0.17811721056738328,1.1392465436075567,3.273067736488116,0.22386438185132168,0.25202419901856005,0.0436668392700452,0.0,0.016271656296687618,53,7,7,0.002932040999439778,0.0008324170012201648,0.02881583300040802,0.09692308176810074
61,60,0.14412401748814568,0.9564148603122596,2.7191162878162585,0.2996104508072714,0.3185312079608176,0.07901769301616973,0.0,0.024268996494849447,215,7,7,0.013326207998034079,0.0008417909994022921,0.025748583000677172,0.16713386415964188
62,60,0.2582238821296908,1.3661547886607217,4.16483676676733,0.1783780158847239,0.2455257132923914,0.035880019559821195,0.0,0.01780125514601747,33,9,7,0.002613874999951804,0.001168415998108685,0.027399792001233436,0.06471884238565766
63,60,0.29224064782229964,1.1110699167563678,2.9002271095396863,0.234045394432946,0.2820451217254151,0.05507015622337462,0.0,0.01353911422600591,103,8,7,0.006965958997170674,0.0009930420019372832,0.025118583002040396,0.12495397900970252
64,60,0.11812204821851523,1.0567885672303179,2.931484931925175,0.1789908785606144,0.1923498033033657,0.02336856962073307,1.77311850157703e-16,0.020139001200726148,103,6,7,0.006679624999378575,0.0007455420018231962,0.02319608300240361,0.07826768371922918
65,60,0.16829277253278163,1.1208238072367398,3.1100564903011745,0.23964610439318323,0.26641336936280124,0.04894380410938917,1.2617842720639874e-16,0.019777827247319076,75,7,7,0.00410441599888145,0.000912750001589302,0.023908291997940978,0.10998542393553222
66,60,0.2373103130668417,1.3422721281080308,3.864221009208778,0.09170534400563603,0.12470619071107851,0.007483515850090233,1.1347014179248522e-16,0.014675441891247906,39,8,7,0.0021836250016349368,0.0009597089992894325,0.02746970799853443,0.030575858081666598
67,60,0.18396242715107247,1.1326888190159998,3.0876488561588755,0.24259816199824172,0.27556720636204834,0.05258103784624426,2.412503480216288e-16,0.01587446791665475,79,8,7,0.00452216700068675,0.0009315419993072283,0.024201000000175554,0.11504885212907773
68,60,0.07888809310839769,1.3588982008033623,3.891246753045196,0.05798267133293491,0.06102899734655273,0.0019005961221206043,0.0,0.013388392144387891,38,5,8,0.0022425419992941897,0.0006140830009826459,0.031282790998375276,0.016165160078360996
69,60,0.2166176396490994,1.318588768890774,3.6991177988562733,0.07067016783582968,0.09473387312923545,0.004283896398914672,1.4475655284478272e-16,0.01516568110746716,46,7,7,0.0024913340021157637,0.0008267910016002133,0.0302371249999851,0.02396746042767251
70,60,0.05388547285120911,1.016127917339552,2.784125334383085,0.13643827025949642,0.13735683787863104,0.0113833180643526,0.0,0.01801934478110505,146,5,7,0.008270000002084998,0.002168667000660207,0.025083665997954085,0.057160905169725176
71,60,0.2539472215674581,1.1846359273932654,3.3001955875915527,0.23028511087439524,0.28545050882881196,0.05474906339511334,0.0,0.01993281630632674,67,9,7,0.005065917001047637,0.0011839170001621824,0.02672037500087754,0.10840458015475748
72,60,0.10933868441553161,0.923084506289876,2.5916722256182942,0.253450842690927,0.2635848252723094,0.05042819009865218,0.0,0.021833063549275673,791,6,7,0.04843320899817627,0.0007412079976347741,0.02742870799920638,0.13590395868118316
73,60,0.05043080013447494,1.3355465058975657,3.8193672532037226,0.07952219037486706,0.08149083100299487,0.003516350497450739,3.032794879436141e-16,0.020565982268850688,35,5,7,0.002046917001280235,0.0006007080010022037,0.028983083000639454,0.02287953580690993
74,60,0.1741532886827467,1.1938277659054475,3.405565109685141,0.0966289533362881,0.11099000804736142,0.006365724877051396,0.0,0.020855677986258283,60,6,7,0.00345295800070744,0.0008108750007522758,0.024612624998553656,0.034057721150122344
75,60,0.06431049378498081,1.1833185685918002,3.2708979892859498,0.2556558513262692,0.26020014379404044,0.049035923665833314,0.0,0.027416702371304932,67,5,7,0.004167125000094529,0.0006640000028710347,0.028400208000675775,0.10643582331315339
76,60,0.20418966118833998,1.3146550347124377,3.8057806501686313,0.13888031661218112,0.1758147135980096,0.01741488081237788,1.415924653806253e-16,0.016790652424067975,41,7,7,0.00249808299849974,0.0008576670006732456,0.03032724999866332,0.049006095665149046
77,60,0.14221220763363707,1.355057997102729,3.9089103638751497,0.1041848784792237,0.11539827396563564,0.007102295771892015,0.0,0.021729586344909856,38,6,7,0.0021537920001719613,0.0008048329982557334,0.03033908299767063,0.03119876035683174
78,60,0.19826737697873215,1.1691812152409604,3.336892640569991,0.09102949794699751,0.1115773471056052,0.0064956117372470795,0.0,0.019208084601856315,57,7,7,0.003233915998862358,0.0009624170015740674,0.02596908299892675,0.033696171717649215
79,60,0.21473616423989234,1.3268849323402523,3.795268943488073,0.13535223483087128,0.17516881382466068,0.016744782524656523,0.0,0.01920146071330786,41,8,7,0.0023675830016145483,0.00106779199995799,0.02935316699949908,0.047746897947515944
