market,mu_log_alpha,sigma_log_alpha,R_target,R_unc,mu_lagrangian,gamma_star_tuned,uniform_m_tuned,pi_unc,pi_cbn,pi_gamma0,pi_gamma_tuned,pi_uniform_tuned,R_cbn,R_gamma0,R_gamma_tuned,R_uniform_tuned,gap_gamma0_vs_cbn,gap_gamma_tuned_vs_cbn,gap_uniform_tuned_vs_cbn,gamma_beats_uniform_constrained,gamma0_violates_floor,gamma_tuned_meets_floor,uniform_tuned_meets_floor,time_cbn,time_gamma_tuned,time_uniform_tuned
20,1.3418050930601386,0.0779022469678426,0.23698565843423497,0.18958852674738796,0.46349182461964106,-0.13601200056625423,0.24160218805249095,0.07261572269970336,0.06335128918600612,0.07019387813476988,0.06283532470918757,0.057256253606039545,0.23698565849040762,0.21454425088023177,0.23698565726048562,0.23698565839809338,0.0,0.008144498453750863,0.09621012702789522,True,True,True,True,0.01326507900012075,0.1347517530011828,0.000456300000223564
21,1.0412144789506654,0.20554100996835745,0.30277350572981165,0.24221880458384934,1.3092923248575035,-1.0626073057290848,0.23154486707423136,0.11181492854864951,0.08657664459028606,0.10701092548357614,0.05142836975152729,0.0701056510492293,0.3027735057344729,0.27287818961796584,0.30277327597993425,0.3027735053472552,0.0,0.4059787140642134,0.19024753868671887,False,True,True,True,0.016150618999745348,1.2751159020008345,0.0005852300000697142
22,1.2889076162296194,0.09125377411736056,0.1948077247974535,0.1558461798379628,0.41817632702788365,-0.15730768413930918,0.24920654237788428,0.06003438090808616,0.05296856701712314,0.05875296331723648,0.05271322538674929,0.048547361896522936,0.19480772474736244,0.17301289789613025,0.1948082017863887,0.19480773431264156,0.0,0.004820625604073927,0.08346846761346137,True,True,True,True,0.01226963900080591,0.14924707200043485,0.0004322200002206955
23,1.2005127219881921,0.18714481589365373,0.20002237460276226,0.1600178996822098,0.4698701485030327,-0.17382566656568396,0.26310404266123205,0.06448204993568209,0.056454690075353225,0.06305900225722169,0.0562592599621863,0.05262669501450937,0.20002237470035536,0.1778006953204876,0.20002279914482723,0.2000223732110058,0.0,0.0034617161639904884,0.06780650209458984,True,True,True,True,0.015892748999249307,0.26558864599974186,0.0004222900006425334
24,1.2076081422565197,0.06796506327555939,0.19525637611265667,0.15620510089012535,0.40210938598839907,-0.16302448614787,0.25090289607188915,0.05940098188499297,0.052553955400027705,0.058348913971156297,0.05238034699313536,0.0489903907983971,0.1952563761118795,0.17217528518003342,0.1952565226045072,0.1952563783255825,0.0,0.0033034317887375114,0.06780773349038398,True,True,True,True,0.011277679001068464,0.14686189199892397,0.0004305399997974746
25,1.3782542181743611,0.29225041101323584,0.16684232939881902,0.1334738635190552,0.46446001665287884,-0.1522729787873069,0.2816730171442063,0.055679682728815835,0.04895676355400733,0.054101100483262325,0.04883714365134028,0.046994986501324866,0.16684232939875784,0.15047112783856734,0.16684240438796502,0.16684234428200528,0.0,0.0024433784830382673,0.04007162463912276,True,True,True,True,0.020971308998923632,0.12581233299897576,0.00042442999983904883
26,1.0804468298953376,0.28653646595422116,0.11954619010560523,0.09563695208448418,0.5330947574677759,-0.6131837040693398,0.29920336617971044,0.04274749274950553,0.037279104004804685,0.04231710496107892,0.02358410909485817,0.03576861434870495,0.1195461901030704,0.1029214595691179,0.11954595563700514,0.11954616288381346,0.0,0.36736384297705893,0.0405184002250981,False,True,True,True,0.020318969000072684,1.3794363260003593,0.0004366899993328843
27,1.109674356697817,0.10603723257702195,0.1523216072742597,0.12185728581940776,0.4289500010832706,-0.40090596417361096,0.264707931046546,0.048668818155038915,0.04297078204424351,0.04816159842669942,0.032748599613685196,0.040320738085586484,0.15232161332873131,0.13147521741163606,0.15232325311759012,0.1523216094288332,0.0,0.23788681388282315,0.06167083382211877,False,True,True,True,0.01137568899866892,1.164914648001286,0.0004249200010235654
28,0.9894901243008623,0.07467034224277859,0.3152907680551689,0.25223261444413514,100.0,-5.0,0.5,0.1178426894114205,-0.00819009064573658,0.11302823307753912,0.011021949670091123,0.11390764619653372,0.30477480141679475,0.28167218922965775,0.30888954900206217,0.22781529239306744,,,,False,True,False,False,0.0020765400004165713,0.21217676800006302,7.779999941703863e-05
29,1.061132019769991,0.17755325576148795,0.1120413031095547,0.08963304248764375,0.42704829298032415,-0.7764454821257636,0.27731509915592706,0.03705934008558432,0.032837740113209855,0.03683288262586307,0.020473484668919947,0.031070745152901858,0.11204130316298579,0.09516136930938689,0.11204129111719412,0.11204130336744338,0.0,0.3765257719216816,0.053809883208046236,False,True,True,True,0.014584119000573992,1.2727924320006423,0.0004285300001356518
30,0.9348662150991929,0.0755333032155557,0.25399608225144865,0.20319686580115892,1.1915391474592378,-5.0,0.22864099514713507,0.09330700337153396,0.07322811129318979,0.08606114568606119,0.008308079701522001,0.058073917691845944,0.25399608230426485,0.21417545766209395,0.2536033547560028,0.25399608523604533,0.0,0.8865452139239504,0.20694502881099414,False,True,True,True,0.01235631900090084,0.21251676799874986,0.0005453300000226591
31,1.082299667594887,0.18479289047381942,0.2096130315709688,0.16769042525677505,0.7714035243081632,-1.0710020973377685,0.26771821838913346,0.07531028728350765,0.0628492666064524,0.07360073475607486,0.039045309727351846,0.05611722734138273,0.20961303555596938,0.18486184094920952,0.20961277344378557,0.20961303148900867,0.0,0.3787467724668203,0.10711404648878635,False,True,True,True,0.01607523900020169,1.2797260410006857,0.0005396200012910413
32,1.2431948142925238,0.10807319140652989,0.17080690065285856,0.13664552052228685,0.4162436362787733,-0.17685865073586216,0.26138500357751737,0.052890128876923556,0.04670461955274961,0.05205437683566291,0.04661250553086983,0.04464636310540482,0.17080690065159926,0.14995277420342956,0.17080690257262235,0.1708069035879647,0.0,0.001972267899018932,0.04406965450216627,True,True,True,True,0.012451259999579634,0.14334953199977463,0.0004243399998813402
33,1.3133131665376923,0.07659461303333968,0.2587650937670131,0.2070120750136105,0.5320332390677825,-0.14373305114150486,0.24493365831145666,0.0804606218312997,0.06922018989585385,0.07748559241820183,0.06869942053439254,0.06338029254289687,0.2587650941933742,0.23502944470793383,0.2587650832264595,0.2587651406500561,0.0,0.007523373776420435,0.08436696521265652,True,True,True,True,0.012981298999875435,0.1467236820008111,0.0004674400006479118
34,1.1292621890898715,0.16758196339158493,0.34605933056176014,0.2768474644494081,100.0,-5.0,0.5,0.13029299026701677,-0.011537818786612386,0.12154303186524062,3.3275100172839434e-05,0.12674674125495314,0.3328004385831746,0.31686010290155114,0.33278427682860184,0.2534934825099063,,,,False,True,False,False,0.002747309999904246,0.00046580999878642615,7.720000030531082e-05
35,1.3264492268873236,0.0922756369823881,0.16306256675735042,0.13045005340588034,0.30041286131681877,-0.13468362134872483,0.2430839347548588,0.04616261602873352,0.041698899110466696,0.045528931452383015,0.04162355862522074,0.039637890316880496,0.16306256675574943,0.14308520888159212,0.1630632694001549,0.16306256666798588,0.0,0.0018067739641367104,0.04942597616609195,True,True,True,True,0.011508068999319221,0.12924045299951104,0.0003879199994116789
36,1.3040843471926942,0.1883908030875162,0.26608063651284064,0.2128645092102725,0.6397601042873406,-0.14704036235231346,0.2540705149633282,0.0889859084107484,0.07548183304772273,0.08458887883884204,0.07464269874948537,0.06760324433882287,0.26608064070743215,0.24471637096594526,0.2660805796826844,0.26608063650589486,0.0,0.01111703656834647,0.10437728378852025,True,True,True,True,0.01740445899849874,0.21101410800110898,0.0005424399987532524
37,1.17164691074063,0.19590228223259287,0.33624420809522987,0.2689953664761839,100.0,-5.0,0.5,0.12671800672445332,-0.012032974893154521,0.11789778718514894,3.23051718180258e-05,0.1227768158714681,0.32331964803906116,0.30832745929839317,0.3230840233521364,0.2455536317429362,,,,False,True,False,False,0.0026971699990099296,0.0004558100008580368,7.656999878236093e-05
38,1.2367819395774278,0.051988618889313984,0.18431752279896432,0.14745401823917145,0.4130334423733795,-0.17109900507090836,0.2539469546497155,0.056160018100862664,0.049556593397365935,0.05522868414771917,0.049424606807877094,0.046806874736879944,0.18431752275083846,0.16204253102476127,0.18431758527649295,0.18431752726250847,0.0,0.0026633507358045263,0.055486434235654004,True,True,True,True,0.011933939000300597,0.15156966199901944,0.00041880999924615026
39,1.2268103813299562,0.14435422063680797,0.1793102789188235,0.1434482231350588,0.45576082467826656,-0.18643332970231818,0.264224482239258,0.05726465125198276,0.05024431662688859,0.056255022435065444,0.05010774100359205,0.04737817510563871,0.17931027582969963,0.15787332485011818,0.17931031562375074,0.17931031486604365,0.0,0.0027182302888253415,0.05704409401233739,True,True,True,True,0.01321292899956461,0.15565540199895622,0.0004235899996274384
40,1.0211259571215483,0.15656839801454375,0.20942142058316632,0.16753713646653307,0.7224717276803334,-1.0351429878668943,0.269992517370939,0.07387852929209238,0.06206604645278196,0.07238076229141786,0.03551075162934415,0.05654221653446207,0.20942141395694744,0.1840669203930034,0.20942218034703491,0.20942142058248045,0.0,0.42785542726070525,0.08899922315049107,False,True,True,True,0.014703278999149916,1.1669807870002842,0.0005031199998484226
41,0.973035131645872,0.1954613687369216,0.32773669131410554,0.26218935305128444,100.0,-5.0,0.5,0.1312212152820153,-0.0053481206298100535,0.1247115898931476,0.015195814085050354,0.1289836540205112,0.30343170956060156,0.2937955321196152,0.310931357304107,0.2579673080410224,,,,False,True,False,False,0.0027125899996462977,0.21297169899844448,7.881000055931509e-05
42,1.1611615327939946,0.1988355031932869,0.10177602788871357,0.08142082231097085,0.4225913177043652,-0.25347207888873674,0.28065993625302116,0.03362399619682709,0.0298195226598098,0.0334258554240562,0.02979743205710615,0.02856445353773798,0.10177603062079607,0.08638804646460686,0.101776026151903,0.10177602802555509,0.0,0.000740810071162761,0.04208884013302404,True,True,True,True,0.013769089000561507,0.4432453160006844,0.00042800000119314063
43,1.272846849188192,0.2199697739738724,0.1046763121965779,0.08374104975726232,0.30378976341440483,-0.17332197038073863,0.2635664346632008,0.03142321838726643,0.02849113341033714,0.031198290832887585,0.02847518827465446,0.02758916239619371,0.10467631489358772,0.08977858360903658,0.10467630378921002,0.10467631218462477,0.0,0.0005596525576232433,0.0316579548153805,True,True,True,True,0.013016998998864437,0.12870336299965857,0.0003822799990302883
44,1.3692179916384426,0.16018118714162927,0.13483672078141734,0.10786937662513388,0.29495579030270985,-0.13866283939088866,0.25109557035789365,0.03895697981038234,0.03530165817748993,0.03847057410281048,0.03525610932219932,0.033856903306547975,0.13483673775386135,0.11800485924782345,0.13483675791348732,0.13483672076847378,0.0,0.0012902752347100713,0.04092597757527445,True,True,True,True,0.012720410000838456,0.12283028299862053,0.0003851199999189703
45,1.1485955397931444,0.14189274999990847,0.09878402647039723,0.07902722117631779,0.3547387101248109,-0.2228367761709417,0.2672469165169785,0.030832695545444582,0.027663310792377837,0.030685735945351966,0.027645681392257943,0.026399725811798582,0.09878402646866195,0.08350712280123661,0.0987840258487122,0.09878402398749987,0.0,0.0006372845337352465,0.045677286788370054,True,True,True,True,0.011409208998884424,0.17416495100042084,0.0003953399991587503
46,1.3336431963047022,0.27829737227344736,0.057609427687819605,0.046087542150255685,0.27087123634234767,-0.1935070458370574,0.26709493532269757,0.017345748717981065,0.01587503088711761,0.017298702367333774,0.015871851830571274,0.015387186484444492,0.057609429006544054,0.04821773606491016,0.057609427548701894,0.057609428145292504,0.0,0.0002002551408524068,0.030730296283643637,True,True,True,True,0.013169548999940162,0.12940170299953024,0.0003483199998299824
47,0.9910689262799087,0.17787519517412542,0.2568541855334861,0.20548334842678886,1.3488234788488276,-2.4574741343139967,0.2382607474983946,0.09806339016715732,0.07585154339299627,0.09504712615576522,0.023319777284435753,0.06119827024835019,0.2568541848375369,0.22785788976113538,0.2568542952447626,0.2568541855546832,0.0,0.6925602797083101,0.19318358584644288,False,True,True,True,0.01596477900056925,1.1694173380001303,0.0005846999993082136
48,1.0675032084101443,0.12321276355776532,0.14979997773037063,0.11983998218429649,0.5189611760087548,-0.8672505414320254,0.2722788355400958,0.050037160896246914,0.04347658432782312,0.04953379911357865,0.026885239550633874,0.04078736349971247,0.14979997808366938,0.12883918627334529,0.14979892166789377,0.14979997772800127,0.0,0.3816156451501989,0.06185446418314109,False,True,True,True,0.0129163689998677,1.2760886020005273,0.00047023900151543785
49,0.9965017462305611,0.18105695808263084,0.3466265675693086,0.27730125405544687,100.0,-5.0,0.5,0.13435108920208996,-0.007597195648830757,0.126880571667236,0.0035188037529021265,0.13166479447468513,0.3252769431194345,0.31290766705379014,0.32814856544460147,0.26332958894937025,,,,False,True,False,False,0.0024998700009746244,0.21210083900041354,7.73899992054794e-05
50,1.0951709770667237,0.18209903157812118,0.14158612492697734,0.11326889994158187,0.5668637527352239,-1.0174173313477692,0.28022480204602856,0.048725705703996085,0.04203817714482624,0.048222008173227256,0.031598138830271585,0.03967594379947308,0.14158612509755228,0.12178761235887807,0.14158605016593948,0.1415861248175887,0.0,0.2483465988210561,0.05619257317497367,False,True,True,True,0.01467471999967529,0.9569503090006037,0.0004657600002246909
51,1.323918739358679,0.26918706395962005,0.1773645650183565,0.1418916520146852,0.4249596259291245,-0.15110805220531245,0.27209890739206843,0.05625851676416893,0.04968491161899356,0.054937293691752334,0.049605515006848296,0.048260704942659834,0.17736455128197326,0.1586910031523312,0.1773645875901056,0.17736456719071197,0.0,0.001598002483210933,0.028664772260343183,True,True,True,True,0.016902159000892425,0.1322537630003353,0.00042581999878166243
