N,day,n_skus,S_inside,ebar,pi_BN,pi_gamma,pi_MS,pi_uniform,gap_gamma,gap_MS,gap_uniform,iter_gamma,iter_MS,iter_BN,time_gamma,time_MS,time_BN
1000,11,637,0.09275656122986416,0.09274754541479509,307125.743763976,305894.6744543771,307125.743763976,293958.4619232637,0.4008355973392289,0.0,4.28726087215641,6,127,68,7.756000013614539e-05,0.04614341000069544,0.7469516380006098
1000,12,653,0.12405966470898051,0.12405095997137973,387549.83875461906,384552.77008933167,387549.83875461906,369284.1396750241,0.7733376112136695,0.0,4.713122611092115,6,127,107,7.620999986102106e-05,0.04819248000057996,1.233485808000296
1000,13,664,0.12669310039849346,0.12668442183090195,439173.662622171,435548.80909188185,439173.662622171,421567.6305339514,0.8253804448669014,0.0,4.008899801299419,7,126,62,0.00010285000007570488,0.048552790000030654,0.7188414180000109
1000,14,659,0.11862385594609903,0.118615097189649,389292.3076066196,386527.19995781186,389292.30760661967,372130.61844063376,0.7102908520868841,-1.495217341214107e-14,4.408432643197194,6,126,82,7.729999924777076e-05,0.04842133000056492,0.9579409480002141
1000,15,654,0.11624879507895339,0.11624001272011766,376491.79347340803,373853.7285903763,376491.79347340803,358068.10117699625,0.700696516833384,0.0,4.893517631935599,6,127,98,7.890000051702373e-05,0.047980330000427784,1.1243041779998748
1000,16,640,0.11624879507895339,0.11624001272011766,368557.33893159527,366016.7699546435,368557.3389315953,351663.7159274196,0.6893280118411361,-1.5793379961501955e-14,4.583716350120257,6,126,59,7.592000019940315e-05,0.04554296999958751,0.6490407689998392
1000,17,644,0.09647318367468621,0.09646420479389434,316594.8317695796,315157.43335493637,316594.8317695796,301312.5743747679,0.45401828153954177,0.0,4.827071026204962,6,126,63,7.683000058023026e-05,0.045455370000127004,0.6932984389995909
1000,18,627,0.08577050353277882,0.0857614182931192,281075.5588625912,280033.2939920093,281075.5588625913,266808.275125236,0.37081305638938367,-2.070890160247738e-14,5.0759602845190885,6,127,67,7.791000007273396e-05,0.04476622999936808,0.7148832180000682
1000,19,651,0.11504635840562859,0.11503756409746789,328069.4072365902,325585.4441718783,328069.4072365902,310067.8353121375,0.7571455947797705,0.0,5.48712300731861,6,127,64,7.557000026281457e-05,0.047414300000127696,0.7187144689996785
1000,20,659,0.10489024038795974,0.10488134515244267,307405.0961510774,305741.3510091091,307405.0961510774,290733.3276420475,0.541222368399072,0.0,5.423387158434231,6,127,101,8.96399997145636e-05,0.048940679999759595,1.171698006999577
1000,21,658,0.12426835206550796,0.12425964940175697,388358.43124930735,385179.7595037139,388358.43124930735,369909.3176756208,0.818489181596491,0.0,4.750537670661031,6,127,61,7.86199998401571e-05,0.0478194600000279,0.696351458999743
1000,22,666,0.13837959236403025,0.13837102993202688,424736.763887544,420868.71720848343,424736.7638875441,398059.0405163022,0.9106926943778019,-2.74088168778716e-14,6.281001702575746,7,127,69,8.918999992602039e-05,0.04875599999922997,0.7963883380007246
1000,23,684,0.18206481233044153,0.18205668402432726,613468.4439199154,603851.6501536941,613468.4439199154,551709.6205637696,1.5676101780838592,0.0,10.067155689626311,9,130,110,0.00011256000016146572,0.10236509999958798,4.892266720000407
1000,24,680,0.13215872164087888,0.13215009738840086,420803.4570361585,417203.0797378485,420803.4570361585,399516.86713786575,0.8555959410762686,0.0,5.058558702967982,6,130,71,0.00010598999961075606,0.12774692000039067,2.3677643450000687
1000,25,691,0.16999075813135378,0.16998250983821603,522473.0642859465,514183.54666786164,522473.0642859465,499143.3524250607,1.586592340298723,0.0,4.465246814736763,6,127,118,0.00010647999988577794,0.10445558999981586,4.103783642000053
1000,26,695,0.1716304445040694,0.17162221250546567,552382.90468163,541950.8403213943,552382.90468163,528901.5909693653,1.8885567007632684,0.0,4.250912458233709,6,130,98,0.00010554000073170755,0.10776976899978763,4.227960862000145
1000,27,708,0.19121724353814507,0.19120920618515722,682049.661086807,669628.6023770927,682049.6610868071,654687.5820144889,1.8211369960835526,-1.7068452411725222e-14,4.011742932137559,7,130,92,0.000123150000035821,0.11004510000020673,3.236598383000455
1000,28,698,0.23223921533553946,0.2322315856421672,813127.4759983948,791079.8087198719,813127.4759983948,774499.7172371997,2.7114650444509616,0.0,4.750516973217048,7,130,78,0.0001215900001625414,0.10728896000000532,2.6767089449995183
1000,29,681,0.19270786751334107,0.19269984497356601,627737.7442654058,613828.023133979,627737.7442654058,603770.0476436159,2.2158490959794626,0.0,3.8181066601049354,7,130,105,0.00013729999955103267,0.10237442899961025,4.576781041000686
1000,30,682,0.18842480795794453,0.18841674285487142,601665.6072247986,589988.7937043585,601665.6072247984,578001.7263767008,1.9407480467929352,3.869768204431831e-14,3.9330619141167524,7,130,136,0.00012306999997235835,0.10374004999994213,4.596878250999907
1000,31,681,0.1784674398036351,0.17845927574830067,621247.4853523382,610504.0553782836,621249.0131462978,596830.0894382207,1.7293317441697929,-0.0002459235643797535,3.930381448589562,7,130,500,0.00012279000020498643,0.10395932000028552,19.27772932100015
2000,1,950,0.3333333333333333,0.3333268535437969,9.8951892135491e-22,997741.7386865626,1067794.188434977,991046.6250214587,-9.977417386865626e+19,-1.0677941884349771e+20,-9.910466250214587e+19,9,128,500,0.00012960999993083533,0.19482696500017482,2.596341728999505
