floor_mult,day,R_observed,R_target,mu_star_cbn,gamma_star_tuned,m_star_unif,pi_cbn,pi_gamma_tuned,pi_unif_tuned,gap_gamma_pct,gap_unif_pct,cbn_meets_floor,gamma_meets_floor,unif_meets_floor
1.1,9,1236313.1,1359944.4100000001,0.5871085360531845,-0.31091243842019983,0.21850221115616156,367572.03743637516,342185.9156374085,297150.86063307314,6.906434443713872,19.158469532789628,True,True,True
1.1,10,686497.7,755147.47,0.4441594242956682,-0.3204193472546238,0.23408036407890445,197747.90632651333,195575.85476937698,176765.19722163602,1.098394211845635,10.610837553056827,True,True,True
1.1,11,713559.1900000001,784915.1090000002,0.41116210860254976,-0.2964939063413418,0.23652776024154132,208687.555563289,206736.72347273573,185654.1902024624,0.9348099771869927,11.037249106040363,True,True,True
1.1,12,851296.8,936426.4800000001,0.4745730643186903,-0.31151595128741505,0.23192008869172445,244087.63077434333,239935.68269725484,217176.11247414642,1.7010071603861483,11.025351106413234,True,True,True
1.1,13,1007017.0300000003,1107718.7330000005,0.5529997544282548,-0.3583422326756955,0.22453427163492823,284515.3605124632,275006.55719811877,248720.82653294114,3.3421054305178366,12.580879259049384,True,True,True
1.1,14,887748.6500000001,976523.5150000002,0.5021108037918748,-0.3299259202674999,0.22888513013844075,255293.90744006936,249789.27956467977,223511.7125397921,2.1561924178240757,12.449257100950673,True,True,True
1.1,15,862822.3099999998,949104.5409999999,0.46900590321944197,-0.30858437379852643,0.23108886672879933,252911.75213881425,247867.84714220467,219327.4929067618,1.99433397378907,13.279042570397936,True,True,True
1.1,16,866645.4500000001,953309.9950000001,0.4876264034672606,-0.32344356691544945,0.22952523773204,250910.49140937568,245197.89776448716,218808.7037721668,2.276745628610673,12.794119311987183,True,True,True
1.1,17,730210.4199999998,803231.4619999998,0.4246381694601786,-0.3015597665404683,0.23500535415370327,215104.32727172738,212773.5724020814,188763.7313954599,1.083546249026266,12.245497898790804,True,True,True
1.1,18,659103.02,725013.322,0.43569142519142445,-0.3170093348678807,0.23440896299793515,194115.74379460694,192282.54737127273,169949.6549890309,0.9443831744394275,12.449319325250645,True,True,True
1.1,19,771484.15,848632.5650000001,0.42138870064672607,-0.2695915269439433,0.23509615397256786,230065.21168574897,226241.53129551397,199510.25239607875,1.661998509995442,13.280999359175564,True,True,True
1.1,20,714900.15,786390.165,0.4145330273595427,-0.2817395595428938,0.23494538424181097,214736.0361439968,212403.12595545588,184758.77647145037,1.0864083320307447,13.96005077249559,True,True,True
1.1,21,920955.3500000001,1013050.8850000002,0.4626167862612078,-0.29605792649282725,0.23114796948710187,269373.808204587,263662.09882919054,234164.65543110186,2.1203655297691357,13.070740993030817,True,True,True
1.1,22,975730.7399999999,1073303.814,0.46189428009619493,-0.2812622619436395,0.22937737641768044,296533.76323565474,290688.4113962364,246191.61391026765,1.9712264045875478,16.976869269817445,True,True,True
1.1,23,1293906.4599999997,1423297.106,0.6127984536127169,-0.3130888420074882,0.20838622829744902,434887.17473352846,418469.5784174941,296595.5156658126,3.775139224580273,31.799433761745746,True,True,True
1.1,24,967883.11,1064671.421,0.4710885455417246,-0.2923875582927733,0.2297066026698657,285728.9037892028,280363.0720434268,244562.05575798877,1.8779450292276536,14.407659668055484,True,True,True
1.1,25,1202171.0699999998,1322388.177,0.524894008516139,-0.28941621759769814,0.22575885162466144,345029.9329592403,329401.2318504542,298540.7628991963,4.529665288672906,13.473952726743834,True,True,True
1.1,26,1254831.8,1380314.9800000002,0.6214284972504754,-0.36073787404304414,0.21747882355945716,349683.8236771685,311481.35097341146,300189.27798726,10.92486129384868,14.154085015840579,True,True,True
1.1,27,1520320.79,1672352.8690000002,0.7068650959915548,-0.4011164167735069,0.20741412607629184,418853.83985441364,377803.77910998283,346869.6087855284,9.800569277029693,17.186002423639167,True,True,True
1.1,28,1840120.65,2024132.715,0.6052258263459525,-0.32706088371450526,0.20821273465020484,537893.7789738859,474008.3755385976,421450.2072599753,11.87695525260758,21.64806068886768,True,True,True
1.1,29,1427503.02,1570253.3220000002,0.6584294550874364,-0.35941050639998773,0.21336698961836648,392104.61235362064,347451.03221527557,335040.22420424817,11.388180279316407,14.553358045660733,True,True,True
1.1,30,1363320.3599999999,1499652.396,0.6762629088105102,-0.36995336713380195,0.21239692340057292,373394.5295281735,338320.25844746124,318521.5550582097,9.393354296066576,14.695709264755985,True,True,True
1.1,31,1413420.8399999999,1554762.9239999999,0.6161106790311083,-0.35230039033638255,0.21748079130890988,392869.522063337,363489.54057560756,338131.0710069889,7.4783050956528205,13.932984867052978,True,True,True
1.15,1,2070003.2200000002,2380503.703,0.7298656748761283,-0.5064647371187553,0.02775695153416865,636841.7777067479,285974.3936930582,66075.5259105672,55.09490681926597,89.62449885927653,True,True,True
1.15,2,876209.98,1007641.477,0.4721187302610761,-0.2887644102323685,0.20507439777555247,236651.9769831817,227541.9475314031,206641.4690956825,3.849547156931642,12.68128340615214,True,True,True
1.15,3,1114080.23,1281192.2644999998,0.5093768798067765,-0.2760453796104447,0.20150347775899474,298498.23063291336,279647.81040224165,258164.7036401624,6.315086086340506,13.512149437948347,True,True,True
1.15,4,1029190.1,1183568.615,0.4910665401670108,-0.2709556383539246,0.20421521433312276,275821.74586455774,260455.19191143106,241702.72094174215,5.571190155787219,12.369954666145045,True,True,True
1.15,5,1117132.6,1284702.49,0.5875930479640266,-0.32712618201304483,0.19171189567857805,289297.5945506234,265463.1928171345,246292.68273176436,8.238714107012106,14.865284962241091,True,True,True
1.15,6,1130830.1900000002,1300454.7185000002,0.5617414578991907,-0.3150909468775173,0.1968076345340537,292999.2548761391,274288.0702553215,255939.43964603072,6.386086076815268,12.648433268465086,True,True,True
1.15,7,1358681.94,1562484.231,0.6981842565382332,-0.376568066364169,0.1717428943040686,354453.9733257733,301220.7611905149,268345.5641244303,15.01837082986585,24.293255452437002,True,True,True
1.15,8,1913487.05,2200510.1075,0.9885180504272836,-0.5741008360448152,0.08482542724586756,501850.616901696,270770.6711528782,186659.20859650863,46.0455637527058,62.80582262727955,True,True,True
1.15,9,1236313.1,1421760.065,0.7049665983469006,-0.38922377114661016,0.17411641069842326,327698.6669972298,292360.8567795431,247551.75939158982,10.783629528155945,24.457501869031862,True,True,True
1.15,10,686497.7,789472.3549999999,0.5155092829444136,-0.3772563406238497,0.20064899918030124,181284.38433412934,178508.8708291945,158406.83852899435,1.5310273497243065,12.619700196001917,True,True,True
1.15,11,713559.1900000001,820593.0685,0.4774235233186073,-0.34823412127510217,0.20444647375952166,192841.61251486096,190246.07435163404,167767.41522531994,1.345942988848889,13.002482691648682,True,True,True
1.15,12,851296.8,978991.32,0.5554481369324688,-0.36954934124166233,0.1968951078370483,222180.78925862632,216542.60909952843,192758.60172553034,2.537654212999867,13.242453423300924,True,True,True
1.15,13,1007017.0300000003,1158069.5845,0.6495088223688346,-0.431032296273611,0.18507614835268282,254267.95979490454,242345.5184832383,214331.06305034077,4.688927901605466,15.706617843938075,True,True,True
1.15,14,887748.6500000001,1020910.9475000001,0.5876611449904042,-0.39313409723938125,0.1921635635991073,231124.68550508164,224091.9933256492,196181.88639124774,3.0428130876906287,15.118592389849082,True,True,True
1.15,15,862822.3099999998,992245.6564999997,0.5482700551100139,-0.36669950384151767,0.1957084163173705,230981.74963646437,224218.90147651813,194190.82616679027,2.9278712151891195,15.928065107991559,True,True,True
1.15,16,866645.4500000001,996642.2675,0.570261364572097,-0.38451839626992973,0.1931705534903809,228004.89343844017,220388.9426741015,192521.9389131016,3.340257592495451,15.562365346741446,True,True,True
1.15,17,730210.4199999998,839741.9829999997,0.49351923780866536,-0.3544706418492276,0.20208479829818457,198349.62122132682,195245.70519509818,169699.098832111,1.5648711639157364,14.444455307149981,True,True,True
1.15,18,659103.02,757968.473,0.5052242562135795,-0.37174953512594133,0.20125319284095308,178617.34166317337,176197.1952083287,152543.58775085394,1.3549336432340704,14.597548966711116,True,True,True
